"from","to"
"DLG4","NAV3"
"CD33","NAV3"
"Cluster_1","DLG4"
"Cluster_11","DLG4"
"Cluster_14","DLG4"
"Cluster_15","DLG4"
"Cluster_16","DLG4"
"Cluster_17","DLG4"
"Cluster_18","DLG4"
"Cluster_19","DLG4"
"Cluster_2","DLG4"
"Cluster_20","DLG4"
"Cluster_21","DLG4"
"Cluster_25","DLG4"
"Cluster_26","DLG4"
"Cluster_27","DLG4"
"Cluster_3","DLG4"
"Cluster_4","DLG4"
"Cluster_6","DLG4"
"Cluster_7","DLG4"
"Cluster_8","DLG4"
"Cluster_9","DLG4"
"phenotype","DLG4"
"REL","DLG4"
"PPARG","DLG4"
"TRAF1","DLG4"
"GRIN1","DLG4"
"CASP7","DLG4"
"NAV3","DLG4"
"CD33","DLG4"
"Cluster_1","CD33"
"Cluster_11","CD33"
"Cluster_14","CD33"
"Cluster_15","CD33"
"Cluster_16","CD33"
"Cluster_17","CD33"
"Cluster_18","CD33"
"Cluster_19","CD33"
"Cluster_2","CD33"
"Cluster_20","CD33"
"Cluster_21","CD33"
"Cluster_25","CD33"
"Cluster_26","CD33"
"Cluster_27","CD33"
"Cluster_3","CD33"
"Cluster_4","CD33"
"Cluster_6","CD33"
"Cluster_7","CD33"
"Cluster_8","CD33"
"Cluster_9","CD33"
"phenotype","CD33"
"REL","CD33"
"PPARG","CD33"
"TRAF1","CD33"
"GRIN1","CD33"
"CASP7","CD33"
"NAV3","CD33"
"DLG4","CD33"
